:			Group	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary	Binary																										
Orange	Fill square	Nagyszentmiklos  	CBR	-0.42031	-0.040698	0.013667	-0.23858	0.20979	-0.10876	-0.030009	0.013807	0.10207	-0.15569	-0.13325	-0.017962	0.0045872	-0.0095417	-0.072295	0.10628	-0.019531	0.065348	0.029634	0.041898	0.032065	-0.14375	-0.005924	-0.0022668	-0.055688	0.023082	-0.013817	0.012036	0.011909	0.20205	0.062968	-0.14281	-0.126	0.11959	-0.056896	-0.13687	-0.091411	-0.12886	-0.079487	-0.042865	0.021438	0.13362	-0.0018843	0.070317	0.099826	0.10298	0.051734	-0.016006	0.002765	0.037602	-0.041814	0.063484	-0.05183	0.016126	
Violet	Fill triang	Jitkov           	SR	-0.28396	-0.10161	0.043485	-0.065427	0.08331	0.05851	-0.15208	0.053232	-0.18953	0.10613	0.11722	0.14481	0.0065397	-0.14339	-0.12758	-0.065527	0.066536	-0.053787	0.027162	0.0018736	0.010961	-0.063661	-0.063717	0.058449	-0.022345	-0.038217	0.012025	-0.0067553	-0.0087289	-0.088976	-0.13948	0.09765	0.074359	0.076836	0.13954	0.1938	0.18783	0.11806	0.017192	-0.14294	-0.15651	0.13362	-0.0018843	0.2809	0.042875	-0.0046218	0.042485	0.075034	0.17955	0.009853	-0.11394	-0.13323	-0.049869	-0.018457	
Violet	Fill triang	Achik_Tash       	SR	-0.38107	0.027084	-0.10857	-0.23062	-0.058971	0.1102	0.017866	-0.0022916	-0.16357	-0.10807	0.015828	-0.075702	0.28557	0.055926	-0.091213	-0.026817	-0.098334	0.026026	-0.092984	0.067092	0.044846	0.010097	0.066138	-0.045445	-0.014939	0.010949	-0.0058325	-0.010136	0.0015046	-0.031602	0.22097	0.10704	0.042655	0.061468	0.11324	0.035478	0.058453	-0.025601	-0.012706	0.088194	-0.27283	0.13362	-0.0018843	0.072838	0.04655	-0.076353	0.032591	0.005208	-0.006549	0.021652	-0.049177	-0.047665	0.0315	-0.022061	
Violet	Fill triang	Mayaki           	SR	-0.29174	0.022232	0.30335	-0.1766	-0.066042	0.268	-0.0081269	0.012115	0.23437	0.105	0.0010071	-0.0045927	-0.066909	0.023265	0.11829	0.10245	-0.070243	-0.086594	0.031665	0.092926	-0.098819	0.039233	-0.025107	-0.062643	-0.0079695	-0.0085577	-0.015444	0.0078896	-0.0018984	-0.27918	0.06544	-0.13645	0.17374	0.054829	0.11369	-0.088157	0.12416	0.1375	0.18577	0.070486	-0.018168	0.13362	-0.0018843	0.032102	-0.0037112	-0.091577	-0.030694	0.12722	-0.080887	-0.077902	-0.14018	0.097796	-0.0041831	0.014579	
Violet	Fill triang	Mayatskoe_1      	SR	-0.511	-0.12243	-0.19244	-0.047507	0.12995	-0.04987	-0.14492	0.11945	0.10972	0.046778	-0.041951	0.041855	0.25043	0.018346	-0.054067	0.018953	-0.046318	-0.096268	0.021015	-0.058767	-0.07338	0.050241	0.021956	0.02073	0.035357	-0.027744	0.0047907	-0.00039441	-0.0018778	-0.10985	-0.1513	0.070853	-0.16813	0.12224	-0.13917	0.016783	0.1279	0.16319	-0.013958	0.229	0.23852	0.13362	-0.0018843	-0.25918	-0.062471	0.19072	-0.076653	0.070334	-0.1513	0.25108	0.082741	-0.06077	0.00054418	0.21766	
Violet	Fill triang	Mayatskoe_2      	SR	-0.36128	0.13133	-0.094385	-0.07333	-0.35374	0.085278	0.16828	-0.13382	0.079406	-0.04044	0.20031	-0.25596	-0.033357	0.040608	0.037893	-0.10925	0.0045921	-0.025421	0.041865	-0.047471	0.019207	-0.035556	-0.051195	0.034333	-0.0021226	-0.03072	0.0058232	0.0059727	0.0044817	0.11819	0.16189	0.0079444	-0.062743	-0.010754	0.086909	0.15994	0.032362	-0.10278	-0.040754	0.10705	0.13262	0.13362	-0.0018843	-0.074153	0.075122	-0.027904	-0.19676	-0.066878	-0.090203	-0.02738	-0.021498	-0.27383	0.18229	0.20678	
Violet	Fill triang	Mayatskoe_5      	SR	-0.35972	0.053583	-0.26077	0.22568	0.20207	0.20355	-0.044611	-0.016573	0.19194	-0.32165	0.031012	0.10909	0.0038355	0.059774	0.016804	0.079831	-0.0049488	-0.029068	-0.04702	-0.016159	0.022559	0.007523	0.028805	0.043086	0.02276	-0.021141	-0.0097246	0.014808	0.0034585	0.0912	-0.11474	-0.12938	0.237	0.10687	0.22229	0.20446	-0.049796	0.02082	0.017883	-0.081492	0.01796	0.13362	-0.0018843	-0.093141	-0.14506	-0.13366	-0.08396	0.072385	0.2162	-0.022744	-0.032194	0.0049199	-0.028776	0.021268	
Violet	Fill triang	Mayatskoe_10     	SR	-0.21625	0.0039757	-0.076451	-0.090537	0.10569	0.26768	-0.010214	-0.06023	-0.1412	0.060637	0.022227	0.0031313	-0.031864	-0.060911	0.050359	0.10089	-0.16845	0.1253	-0.016458	-0.026156	0.049117	-0.0072908	-0.048784	0.020816	-0.023227	0.00066872	0.020516	-0.02282	-0.0081372	0.11556	0.024853	-0.17295	-0.0074407	-0.21638	-0.020092	-0.13228	0.089133	0.3037	-0.073329	0.041505	0.16562	0.13362	-0.0018843	0.001497	0.058672	0.063403	0.012625	-0.032993	-0.0086606	0.0049667	0.060349	0.047932	0.037643	0.027018	
Violet	Fill triang	Khumara_6        	SR	-0.41042	0.085961	-0.1075	-0.11091	-0.056787	-0.1348	0.0020311	0.10509	-0.21881	-0.024847	0.11451	-0.056325	-0.048965	-0.052631	0.1301	-0.019062	0.11978	0.053691	0.00038319	-0.025008	0.0079311	0.034241	0.0075596	0.020728	-0.020273	-0.012549	-0.028743	-0.0027693	-0.0068806	-0.010668	-0.070612	-0.072394	0.20564	0.31738	0.081339	-0.23971	-0.19891	0.0081926	0.14132	0.16815	0.24274	0.13362	-0.0018843	-0.21722	-0.15687	-0.078387	-0.033488	0.036732	-0.045086	-0.13583	-0.12427	0.2162	-0.012563	0.087235	
Violet	Fill triang	Khumara_7        	SR	-0.47669	-0.035579	-0.10002	0.16128	-0.19407	-0.19212	0.078938	0.14325	-0.08036	0.14695	-0.049362	0.088991	-0.015213	0.05646	0.17986	-0.054289	-0.085373	0.051777	-0.032547	-0.12864	-0.05904	-0.13243	0.041571	-0.025613	0.030327	0.031435	0.0084302	0.002817	0.0028575	-0.015863	-0.0037088	-0.043862	0.088352	-0.049948	-0.006552	0.082805	0.17073	0.14963	-0.057391	-0.027885	-0.18784	0.13362	-0.0018843	0.10541	-0.10597	-0.051295	0.11468	-0.041084	0.00020922	0.043999	0.055524	0.0085993	0.031045	-0.010203	
Violet	Fill triang	Khumara_8        	SR	-0.44686	-0.16697	-0.16826	-0.1618	0.015479	0.10751	-0.033279	0.15319	-0.054301	-0.25175	0.084367	0.010645	-0.080808	0.052406	0.052365	-0.046813	0.017579	-0.025737	0.097332	-0.00036111	-0.016271	0.052996	-0.038098	0.0072903	0.013913	0.03066	0.0058294	-0.00016996	-0.0014432	-0.23716	0.017612	-0.15678	-0.044342	-0.16867	-0.22473	-0.028207	-0.12494	-0.22004	0.043484	-0.18298	-0.13697	0.13362	-0.0018843	0.055811	0.097291	0.093692	-0.12551	-0.12347	-0.097195	-0.071094	0.24546	-0.15126	-0.011855	-0.29792	
Violet	Fill triang	Kermen_Tolga     	SR	-0.38226	-0.1113	-0.006087	0.047643	0.037208	0.23165	-0.09205	-0.044089	-0.10615	0.2429	-0.12632	-0.015399	-0.11551	0.17856	-0.048225	-0.029027	-0.023754	-0.092135	-0.067143	-0.095446	-0.0047512	-0.008542	-0.0026032	-0.059953	-0.029689	0.0094929	-0.018977	-0.0048712	0.0030311	0.075735	-0.1421	0.040242	-0.17405	0.047227	0.20532	0.04298	-0.36647	-0.26906	0.044878	-0.10406	0.13258	0.13362	-0.0018843	-0.083671	0.054151	0.035349	-0.085124	0.022174	0.0040731	-0.086291	-0.033296	-0.03936	-0.071107	-0.040227	
Violet	Fill triang	Novocherkassk    	SR	-0.39775	-0.061725	-0.25008	-0.10497	0.018295	0.16631	0.033189	0.012473	0.14463	0.25294	0.045257	-0.0086497	-0.02462	0.071534	0.05961	0.10895	0.16299	-0.039335	-0.0013359	0.080448	0.053415	-0.0059605	0.052173	0.010697	0.020742	0.0044015	0.032679	-0.010125	0.0025274	0.22015	0.062028	0.13669	-0.079969	-0.10355	-0.21369	0.025427	0.15008	-0.098904	-0.015947	-0.0090388	-0.12054	0.13362	-0.0018843	0.14381	-0.075599	-0.033995	0.17817	-0.12639	0.0864	-0.11184	-0.046933	0.0091542	-0.0023409	-0.0088974	
Violet	Fill triang	Homokmegy_Halom  	SR	-0.095661	0.16218	0.1498	0.053501	0.46109	-0.34157	0.091688	-0.035447	0.04294	0.052749	0.16008	-0.20763	0.24062	0.093485	-0.030248	-0.057098	-0.016968	-0.033505	0.013728	-0.0070038	-0.080768	0.0060096	-0.070809	-0.022872	-0.0092391	0.016798	0.012232	-0.011046	-0.001941	0.17697	-0.030075	0.023404	0.10866	-0.1174	0.012938	-0.078144	-0.031696	-0.035384	0.028685	-0.11295	0.010736	0.13362	-0.0018843	0.085492	-0.1637	-0.34089	-0.023961	0.03286	0.20412	-0.35987	0.013483	0.032955	0.061808	-0.22664	
Violet	Fill triang	Algyo            	SR	-0.39594	-0.069461	-0.21593	0.40088	0.086084	-0.086552	-0.21055	0.0020227	-0.032795	0.24906	-0.0071808	0.12872	0.05283	-0.17247	0.030164	-0.082473	-0.017413	0.10514	0.021262	0.088485	0.043021	0.086635	-0.012689	-0.023782	-0.0026077	0.00128	-0.010552	0.021221	0.010336	0.03399	0.20845	-0.076201	0.070519	0.050774	-0.068354	-0.057788	-0.087408	-0.119	-0.0045869	-0.093226	0.036761	0.13362	-0.0018843	0.011874	0.078713	-0.10355	-0.28598	-0.073582	-0.090439	0.068549	0.17084	0.017962	0.027327	-0.20948	
Violet	Fill triang	Kievan_Letter    	SR	-0.13292	0.010537	0.38167	0.029108	-0.030563	0.313	0.18541	0.10607	-0.05181	-0.072774	-0.041324	0.12805	0.10323	-0.13936	-0.01039	-0.076591	0.043461	0.030841	-0.014901	-0.036851	-0.08017	-0.0081155	0.042615	0.086849	0.017332	-0.0036151	-0.0039146	0.0066905	0.0006039	0.18751	0.079757	0.25581	-0.068385	-0.25985	-0.0088363	-0.17492	-0.11311	-0.1281	0.033603	0.068853	-0.095931	0.13362	-0.0018843	0.062378	0.088816	0.12979	0.18634	0.10409	-0.14631	-0.14548	0.019363	0.2752	0.064404	-0.042188	
